Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"In order to continue to the experiment, you must consent to take part in the project",What is your first language?,What is your gender (optional)?,What is your age?,"Before you start, please confirm that you will be able to do the experiment in a quiet place without distractions, that you are holding your device in landscape (horizontal mode) if it is a mobile device, and that you can use both hands to respond. Please select both of the responses below to indicate that you are ready to start the experiment:",PROLIFIC_PID,STUDY_ID
10/08/2020 16:22,10/08/2020 16:24,IP Address,100,114,TRUE,10/08/2020 16:24,R_1dH8CO9aMgGRc7Q,,anonymous,EN-GB,Firefox,78,Windows NT 10.0,1600x900,I consent to take part in the project on the basis set out above (Section A),English,Male,56,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e5012ec47808406305d6a0d,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:24,IP Address,100,150,TRUE,10/08/2020 16:24,R_3Dc4oUJUCcKli6G,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 10,412x869,I consent to take part in the project on the basis set out above (Section A),English,Female,27,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5db1de78d823e2000a85520b,5f31291acb8aea5c9dee6dcf
10/08/2020 16:23,10/08/2020 16:25,IP Address,100,132,TRUE,10/08/2020 16:25,R_3C4jxFY0iQShbih,,anonymous,EN-GB,Chrome,77.0.3865.92,Android 9,360x800,I consent to take part in the project on the basis set out above (Section A),English,Female,25,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ef35f1554cf70092d1997d9,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:26,IP Address,100,227,TRUE,10/08/2020 16:26,R_3q9XxyP62dt1KfZ,,anonymous,EN-GB,Firefox,79,Windows NT 6.1,1600x900,I consent to take part in the project on the basis set out above (Section A),English,Male,52,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5dd11ee349f6071aef4519bb,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:26,IP Address,100,263,TRUE,10/08/2020 16:26,R_2pJLLMohI4tS2Mk,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1600x900,I consent to take part in the project on the basis set out above (Section A),English,Female,28,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5f2aeb9e0f60154413ed7f5e,5f31291acb8aea5c9dee6dcf
10/08/2020 16:27,10/08/2020 16:29,IP Address,100,116,TRUE,10/08/2020 16:29,R_2tFq24RIcrNLiHQ,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 10,412x869,I consent to take part in the project on the basis set out above (Section A),English,Male,43,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ed368ce7400922f544fdecc,5f31291acb8aea5c9dee6dcf
10/08/2020 16:30,10/08/2020 16:31,Spam,100,22,TRUE,10/08/2020 16:31,R_1JWRz34VNmKeHj5,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 9,800x1280,I consent to take part in the project on the basis set out above (Section A),English,Female,39,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e9ffa9ee172201b04f1a4c6,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:32,IP Address,100,602,TRUE,10/08/2020 16:32,R_2b35YyyZG1MVeYc,,anonymous,EN-GB,Firefox,79,Macintosh,1440x900,I consent to take part in the project on the basis set out above (Section A),English,Male,26,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d2dbfc01460350001333a97,5f31291acb8aea5c9dee6dcf
10/08/2020 16:45,10/08/2020 16:47,IP Address,100,149,TRUE,10/08/2020 16:47,R_1OGIc1Av2eSuoyR,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Female,32,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e19b97a8a76fb239d3e33d6,5f31291acb8aea5c9dee6dcf
10/08/2020 16:47,10/08/2020 16:50,IP Address,100,161,TRUE,10/08/2020 16:50,R_3Ol8xIugJRwsH4t,,anonymous,EN-GB,Firefox,79,Windows NT 6.1,1360x768,I consent to take part in the project on the basis set out above (Section A),English,Male,32,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5c0c90e7632102000147c3cc,5f31291acb8aea5c9dee6dcf
